"Version","ID","Age","Gender","A5","A7","A8","B","C"
"2","NK_47","9","MALE","80","80","73.333333333333","33.333333333333","73.333333333333"
"1","NK_48","9","FEMALE","93.333333333333","86.666666666667","80","40","86.666666666667"
"2","NK_48","9","FEMALE","86.666666666667","86.666666666667","86.666666666667","40","100"
"1","NK_49","9","MALE","80","86.666666666667","73.333333333333","40","86.666666666667"
"2","NK_49","9","MALE","80","80","80","40","100"
"1","NK_50","9","FEMALE","93.333333333333","100","86.666666666667","46.666666666667","86.666666666667"
"2","NK_50","9","FEMALE","86.666666666667","93.333333333333","93.333333333333","40","86.666666666667"
"1","NK_51","9","MALE","93.333333333333","80","93.333333333333","26.666666666667","100"
"2","NK_51","9","MALE","86.666666666667","80","66.666666666667","33.333333333333","86.666666666667"
"1","NK_52","9","FEMALE","93.333333333333","93.333333333333","80","40","100"
"2","NK_52","9","FEMALE","100","100","80","46.666666666667","100"
"1","NK_53","9","MALE","93.333333333333","93.333333333333","93.333333333333","26.666666666667","100"
"2","NK_53","9","MALE","86.666666666667","86.666666666667","100","33.333333333333","100"
"1","NK_54","9","FEMALE","66.666666666667","53.333333333333","73.333333333333","26.666666666667","80"
"2","NK_54","9","FEMALE","73.333333333333","66.666666666667","80","26.666666666667","100"
"1","NK_55","8","MALE","66.666666666667","60","60","26.666666666667","80"
"2","NK_55","8","MALE","80","73.333333333333","73.333333333333","33.333333333333","86.666666666667"
"1","NK_56","8","MALE","80","66.666666666667","73.333333333333","33.333333333333","66.666666666667"
"2","NK_56","8","MALE","86.666666666667","80","73.333333333333","46.666666666667","93.333333333333"
"1","NK_57","8","MALE","73.333333333333","60","66.666666666667","26.666666666667","73.333333333333"
"2","NK_57","8","MALE","80","73.333333333333","80","26.666666666667","80"
"1","NK_58","8","FEMALE","86.666666666667","80","80","40","100"
"2","NK_58","8","FEMALE","86.666666666667","73.333333333333","53.333333333333","40","100"
"1","NK_59","8","FEMALE","100","100","86.666666666667","46.666666666667","93.333333333333"
"2","NK_59","8","FEMALE","86.666666666667","80","93.333333333333","26.666666666667","93.333333333333"
"1","NK_60","8","FEMALE","80","73.333333333333","73.333333333333","26.666666666667","86.666666666667"
"2","NK_60","8","FEMALE","100","93.333333333333","100","40","100"
"1","NK_61","8","MALE","100","86.666666666667","80","26.666666666667","86.666666666667"
"2","NK_61","8","MALE","73.333333333333","73.333333333333","80","33.333333333333","93.333333333333"
"1","NK_62","8","MALE","80","80","86.666666666667","40","86.666666666667"
"2","NK_62","8","MALE","80","73.333333333333","80","26.666666666667","100"
"1","NK_63","7","MALE","73.333333333333","53.333333333333","66.666666666667","33.333333333333","93.333333333333"
"2","NK_63","7","MALE","66.666666666667","66.666666666667","53.333333333333","20","73.333333333333"
"1","NK_64","7","FEMALE","73.333333333333","73.333333333333","66.666666666667","20","80"
"2","NK_64","7","FEMALE","73.333333333333","66.666666666667","66.666666666667","20","93.333333333333"
"1","NK_65","7","MALE","80","73.333333333333","73.333333333333","33.333333333333","100"
"2","NK_65","7","MALE","80","80","60","33.333333333333","80"
"1","NK_66","7","FEMALE","66.666666666667","66.666666666667","60","26.666666666667","73.333333333333"
"2","NK_66","7","FEMALE","73.333333333333","66.666666666667","66.666666666667","26.666666666667","73.333333333333"
"1","NK_67","7","MALE","73.333333333333","66.666666666667","60","26.666666666667","80"
"2","NK_67","7","MALE","80","73.333333333333","66.666666666667","20","100"
"1","NK_68","7","FEMALE","73.333333333333","60","46.666666666667","33.333333333333","93.333333333333"
"2","NK_68","7","FEMALE","73.333333333333","66.666666666667","73.333333333333","20","86.666666666667"
"1","NK_69","7","FEMALE","73.333333333333","66.666666666667","53.333333333333","33.333333333333","80"
"2","NK_69","7","FEMALE","60","60","66.666666666667","26.666666666667","93.333333333333"
"1","NK_70","7","MALE","66.666666666667","60","60","20","80"
"2","NK_70","7","MALE","60","60","60","20","93.333333333333"
"1","NK_71","7","FEMALE","80","66.666666666667","73.333333333333","40","93.333333333333"
"2","NK_71","7","FEMALE","46.666666666667","40","60","20","80"
"1","NK_72","7","MALE","60","60","60","20","73.333333333333"
"2","NK_72","7","MALE","66.666666666667","53.333333333333","53.333333333333","26.666666666667","73.333333333333"
"1","NK_73","6","FEMALE","60","26.666666666667","33.333333333333","33.333333333333","73.333333333333"
"2","NK_73","6","FEMALE","66.666666666667","53.333333333333","46.666666666667","26.666666666667","80"
"1","NK_74","6","MALE","66.666666666667","46.666666666667","60","26.666666666667","80"
"2","NK_74","6","MALE","66.666666666667","53.333333333333","40","33.333333333333","73.333333333333"
"1","NK_75","6","FEMALE","53.333333333333","46.666666666667","40","26.666666666667","86.666666666667"
"2","NK_75","6","FEMALE","60","53.333333333333","46.666666666667","33.333333333333","73.333333333333"
"1","NK_76","6","FEMALE","53.333333333333","46.666666666667","40","33.333333333333","73.333333333333"
"2","NK_76","6","FEMALE","66.666666666667","53.333333333333","53.333333333333","20","80"
"1","NK_77","6","FEMALE","53.333333333333","53.333333333333","53.333333333333","26.666666666667","80"
"2","NK_77","6","FEMALE","53.333333333333","66.666666666667","40","33.333333333333","66.666666666667"
"1","NK_78","6","FEMALE","73.333333333333","60","40","20","73.333333333333"
"2","NK_78","6","FEMALE","73.333333333333","66.666666666667","53.333333333333","20","80"
"1","NK_79","6","MALE","66.666666666667","46.666666666667","53.333333333333","26.666666666667","66.666666666667"
"2","NK_79","6","MALE","53.333333333333","46.666666666667","40","33.333333333333","86.666666666667"
"1","NK_80","6","MALE","66.666666666667","26.666666666667","53.333333333333","40","73.333333333333"
"2","NK_80","6","MALE","53.333333333333","60","60","20","80"
"1","NK_81","6","MALE","80","66.666666666667","40","20","80"
"2","NK_81","6","MALE","66.666666666667","53.333333333333","46.666666666667","26.666666666667","73.333333333333"
"1","NK_82","6","MALE","53.333333333333","73.333333333333","53.333333333333","33.333333333333","86.666666666667"
"2","NK_82","6","MALE","60","53.333333333333","46.666666666667","33.333333333333","66.666666666667"
"1","NK_83","5","FEMALE","66.666666666667","66.666666666667","53.333333333333","20","73.333333333333"
"2","NK_83","5","FEMALE","60","53.333333333333","46.666666666667","26.666666666667","80"
"1","NK_84","5","FEMALE","66.666666666667","53.333333333333","73.333333333333","26.666666666667","93.333333333333"
"2","NK_84","5","FEMALE","66.666666666667","46.666666666667","46.666666666667","20","86.666666666667"
"1","NK_85","5","FEMALE","73.333333333333","53.333333333333","46.666666666667","33.333333333333","73.333333333333"
"2","NK_85","5","FEMALE","66.666666666667","46.666666666667","53.333333333333","33.333333333333","80"
"1","NK_86","5","MALE","60","46.666666666667","40","26.666666666667","80"
"2","NK_86","5","MALE","53.333333333333","60","46.666666666667","26.666666666667","73.333333333333"
"1","NK_87","5","MALE","60","53.333333333333","40","33.333333333333","80"
"2","NK_87","5","MALE","73.333333333333","66.666666666667","60","20","66.666666666667"
"1","NK_88","5","MALE","53.333333333333","60","53.333333333333","26.666666666667","86.666666666667"
"2","NK_88","5","MALE","60","53.333333333333","40","26.666666666667","66.666666666667"
"1","NK_89","5","MALE","66.666666666667","66.666666666667","40","26.666666666667","80"
"2","NK_89","5","MALE","66.666666666667","53.333333333333","60","20","73.333333333333"
"1","NK_90","13","FEMALE","100","93.333333333333","93.333333333333","33.333333333333","100"
"2","NK_90","13","FEMALE","93.333333333333","100","86.666666666667","20","93.333333333333"
"1","NK_91","14","MALE","100","93.333333333333","86.666666666667","66.666666666667","100"
"2","NK_91","14","MALE","100","93.333333333333","93.333333333333","53.333333333333","100"
"1","NK_92","14","MALE","86.666666666667","66.666666666667","86.666666666667","46.666666666667","73.333333333333"
"2","NK_92","14","MALE","86.666666666667","73.333333333333","80","53.333333333333","66.666666666667"
"1","NK_93","14","MALE","86.666666666667","80","80","73.333333333333","100"
"2","NK_93","14","MALE","80","66.666666666667","86.666666666667","53.333333333333","86.666666666667"
"1","NK_94","14","MALE","93.333333333333","80","73.333333333333","40","93.333333333333"
"2","NK_94","14","MALE","73.333333333333","73.333333333333","66.666666666667","33.333333333333","86.666666666667"
"1","NK_95","14","MALE","100","86.666666666667","93.333333333333","46.666666666667","100"
"2","NK_95","14","MALE","100","93.333333333333","86.666666666667","40","100"
"1","NK_96","14","FEMALE","100","66.666666666667","60","33.333333333333","86.666666666667"
"2","NK_96","14","FEMALE","93.333333333333","80","66.666666666667","80","80"
"1","NK_97","14","FEMALE","86.666666666667","73.333333333333","93.333333333333","46.666666666667","100"
"2","NK_97","14","FEMALE","86.666666666667","86.666666666667","80","40","93.333333333333"
"1","NK_98","14","FEMALE","80","66.666666666667","73.333333333333","46.666666666667","93.333333333333"
